Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Unemployment Rate,House Value,House Construction Year,Monthly Owner Cost,Monthly Rent,Public Transport Rate,Personal Transport Rate,Commute Time Public,Commute Time Car,High School Rate,College Rate,Uneducated Rate,English Language,Spanish Language,White Population Rate,Black Population Rate,Hispanic Population Rate,Asian Population Rate,City,County,Lat,Lng,Housing_units,State
93905,61251.0,27.1,45962.0,13521.0,21.903315864230787,1.838337333268028,297800.0,1975.0,1771.0,1135.0,0.7447075558530667,60.70621705296628,4780.0,351905.0,9.217808688837732,2.070170282934156,3.100357545182936,,,55.50276730175834,0.3967282166821766,93.5641867071558,2.215474033077011,Salinas,Monterey County,36.68,-121.62,13157.0,CA
93906,65464.0,31.1,61192.0,21197.0,12.77648784064524,3.747097641451792,334600.0,1980.0,1946.0,1386.0,0.957960027567195,79.33494141971055,,,12.967432481974823,5.719173897103752,2.060674569228889,,,53.12843700354393,2.227178296468288,71.50036661371135,8.759012587070757,Salinas,Monterey County,36.72,-121.63,17788.0,CA
93907,22171.0,38.3,73226.0,30397.0,11.627802083803166,3.2519958504352533,417600.0,1978.0,2164.0,1383.0,0.6182380216383307,76.37171561051005,5940.0,204690.0,12.836588336114744,10.351359884533853,1.8222001713950653,,,64.8234179784403,1.7906273961481214,50.76902259708629,6.576158044292093,Salinas,Monterey County,36.8,-121.7,7512.0,CA
93908,11490.0,50.0,127070.0,61361.0,4.064403829416884,1.6013925152306354,719300.0,1981.0,3043.0,2277.0,0.0719812848659348,80.79899226201188,,,11.166231505657093,18.66840731070496,0.2436901653611836,,,83.92515230635335,0.7484769364664926,23.27241079199304,6.196692776327241,Salinas,Monterey County,36.6,-121.6,4854.0,CA
93920,1271.0,37.2,53125.0,29082.0,15.263571990558615,2.5177025963808024,1706500.0,1977.0,1860.0,733.0,0.0,49.33920704845815,,,16.286388670338315,22.029897718332023,0.9441384736428008,,,94.8859166011015,0.0,39.73249409913454,2.5963808025177024,Big Sur,Monterey County,36.1,-121.6,864.0,CA
93921,3485.0,54.7,88065.0,55547.0,5.882352941176471,0.0286944045911047,1317200.0,1955.0,2905.0,2040.0,0.0,59.49367088607595,,,8.923959827833572,30.215208034433285,0.0,,,90.73170731707316,0.0573888091822094,11.563845050215209,2.611190817790531,Carmel By The Sea,Monterey County,36.5449,-121.9257,3139.0,CA
93923,12787.0,59.0,92778.0,70346.0,7.5623680300305,1.642292953781184,1066100.0,1967.0,3728.0,1882.0,0.0450856627592425,78.809738503156,,,8.156721670446547,25.432079455697192,0.33627903339329,,,89.38765934151873,0.8446078048017518,6.514428716665363,5.638539141315398,Carmel,Monterey County,36.4,-121.8,7476.0,CA
93924,6013.0,55.2,96458.0,59447.0,4.656577415599535,3.575586229835357,908600.0,1972.0,2898.0,1721.0,0.0,74.14634146341463,,,9.529353068351904,19.94012971894229,0.5321802760685183,,,90.65358390154664,0.6485947114585066,13.07167803093298,1.7628471644769663,Carmel Valley,Monterey County,36.4,-121.6,3094.0,CA
93925,1913.0,32.1,55729.0,19042.0,18.661787767903817,2.7182435964453737,280100.0,1983.0,1496.0,873.0,0.0,70.47387606318348,-666666666.0,11470.0,12.127548353371669,5.4887611082070045,0.836382645060115,,,75.64035546262416,0.0,88.86565603763722,0.2613695765812859,Chualar,Monterey County,36.62,-121.41,405.0,CA
93926,9505.0,28.5,52298.0,16385.0,19.35823250920568,0.9994739610731194,324500.0,1984.0,1672.0,1112.0,0.7417218543046358,77.40397350993378,,,11.593897948448186,4.334560757496055,1.2519726459758025,,,73.91899000526038,0.2209363492898474,94.06628090478696,1.6622830089426617,Gonzales,Monterey County,36.5,-121.4,2153.0,CA
